PNET Field,PIBO Field,Name,PNET_Valid,Field_Valid,From
ExRip_Mean,D50_Index,C_ExRip_Mean,N,Y,
iGeo_ElMin,D50_Index,4_ElMin,N,Y,BRAT
iGeo_Slope,D50_Index,4_iGeo_Slope,N,Y,BRAT
iHyd_SP2,D50_Index,4_SP2,N,Y,BRAT
iHyd_SPLow,D50_Index,4_iHyd_SPLow,N,Y,BRAT
LUI,D50_Index,C_LUI,Y,Y,
NATIV_DEP,D50_Index,C_NATIV_DEP,N,Y,
NODE_DENS,D50_Index,3_NODE_DENS,Y,Y,GNAT-threadedness
PRECIP,D50_Index,4_PRECIP,N,Y,RCAT-bankfull
PredD50_03,D50_Index,4_D50_3,N,Y,PNET
PredD50_04,D50_Index,4_D50_4,N,Y,PNET
prop_agr,D50_Index,C_agr_prop,Y,Y,
prop_conif,D50_Index,C_conif_prop,Y,Y,
prop_decid,D50_Index,C_decid_prop,Y,Y,
prop_dev,D50_Index,C_dev_prop,Y,Y,
prop_deveg,D50_Index,C_deveg_prop,Y,Y,
prop_exp,D50_Index,C_exp_prop,Y,Y,
prop_grsh,D50_Index,C_grsh_prop,Y,Y,
prop_inv,D50_Index,C_inv_prop,Y,Y,
prop_noch,D50_Index,C_noch_prop,Y,Y,
RIPAR_DEP,D50_Index,C_RIPAR_DEP,N,Y,
Sinuosity,D50_Index,4_Sinuosity,N,Y,Sinuosity
VEG,D50_Index,C_VEG,N,Y,
COND_VAL,EGC,4_COND_VAL,N,N,RCA
CONNECT,EGC,4_CONNECT,Y,N,RCA
CONV_CODE,EGC,3_CONV_CODE,Y,N,RVD
ExNtv_Mean,EGC,3_ExNtv_Mean,N,N,RVD
ExRip_Mean,EGC,3_ExRip_Mean,N,N,RVD
LUI,EGC,4_LUI,Y,N,RCA
NATIV_DEP,EGC,3_NATIV_DEP,N,N,RVD
prop_agr,EGC,3_agr_prop,Y,N,RVD
prop_conif,EGC,3_conif_prop,Y,N,RVD
prop_decid,EGC,3_decid_prop,Y,N,RVD
prop_dev,EGC,3_dev_prop,Y,N,RVD
prop_deveg,EGC,3_deveg_prop,Y,N,RVD
prop_exp,EGC,3_exp_prop,Y,N,RVD
prop_grsh,EGC,3_grsh_prop,Y,N,RVD
prop_inv,EGC,3_inv_prop,Y,N,RVD
prop_noch,EGC,3_noch_prop,Y,N,RVD
RIPAR_DEP,EGC,3_RIPAR_DEP,N,N,RVD
VEG,EGC,4_VEG,N,N,RCA
COND_VAL,GLwetrat,5_COND_VAL,N,N,RCA
CONNECT,GLwetrat,5_CONNECT,Y,N,RCA
CONV_CODE,GLwetrat,2_CONV_CODE,Y,N,RVD
ExNtv_Mean,GLwetrat,2_ExNtv_Mean,N,N,RVD
ExRip_Mean,GLwetrat,2_ExRip_Mean,N,N,RVD
LUI,GLwetrat,5_LUI,Y,N,RCA
NATIV_DEP,GLwetrat,2_NATIV_DEP,N,N,RVD
prop_agr,GLwetrat,2_agr_prop,Y,N,RVD
prop_conif,GLwetrat,2_conif_prop,Y,N,RVD
prop_decid,GLwetrat,2_decid_prop,Y,N,RVD
prop_dev,GLwetrat,2_dev_prop,Y,N,RVD
prop_deveg,GLwetrat,2_deveg_prop,Y,N,RVD
prop_exp,GLwetrat,2_exp_prop,Y,N,RVD
prop_grsh,GLwetrat,2_grsh_prop,Y,N,RVD
prop_inv,GLwetrat,2_inv_prop,Y,N,RVD
prop_noch,GLwetrat,2_noch_prop,Y,N,RVD
RIPAR_DEP,GLwetrat,2_RIPAR_DEP,N,N,RVD
COND_VAL,GLwoodycvr,6_COND_VAL,N,Y,RCA
CONNECT,GLwoodycvr,6_CONNECT,Y,Y,RCA
CONV_CODE,GLwoodycvr,4_CONV_CODE,Y,Y,RVD
ExNtv_Mean,GLwoodycvr,4_ExNtv_Mean,N,Y,RVD
ExRip_Mean,GLwoodycvr,4_ExRip_Mean,N,Y,RVD
LUI,GLwoodycvr,6_LUI,Y,Y,RCA
NATIV_DEP,GLwoodycvr,4_NATIV_DEP,N,Y,RVD
prop_agr,GLwoodycvr,4_agr_prop,Y,Y,RVD
prop_conif,GLwoodycvr,4_conif_prop,Y,Y,RVD
prop_decid,GLwoodycvr,4_decid_prop,Y,Y,RVD
prop_dev,GLwoodycvr,4_dev_prop,Y,Y,RVD
prop_deveg,GLwoodycvr,4_deveg_prop,Y,Y,RVD
prop_exp,GLwoodycvr,4_exp_prop,Y,Y,RVD
prop_grsh,GLwoodycvr,4_grsh_prop,Y,Y,RVD
prop_inv,GLwoodycvr,4_inv_prop,Y,Y,RVD
prop_noch,GLwoodycvr,4_noch_prop,Y,Y,RVD
RIPAR_DEP,GLwoodycvr,4_RIPAR_DEP,N,Y,RVD
iGeo_Slope,Grad_Per,Slope,N,N,BRAT
BFWIDTH,LWFrq_Inde,5_BFWIDTH,N,Y,Bankfull
COND_VAL,LWFrq_Inde,D_COND_VAL,N,Y,
CONF_RATIO,LWFrq_Inde,5_CONF_RATIO,N,Y,RCA
CONNECT,LWFrq_Inde,D_CONNECT,Y,Y,
CONV_CODE,LWFrq_Inde,D_CONV_CODE,Y,Y,
DRAREA,LWFrq_Inde,5_DRAREA,N,Y,RCAT-bankfull
ExNtv_Mean,LWFrq_Inde,D_ExNtv_Mean,N,Y,
ExRip_Mean,LWFrq_Inde,D_ExRip_Mean,N,Y,
iGeo_ElMin,LWFrq_Inde,5_ElMin,N,Y,BRAT
iGeo_Slope,LWFrq_Inde,5_iGeo_Slope,N,Y,BRAT
iHyd_SP2,LWFrq_Inde,5_SP2,N,Y,BRAT
iHyd_SPLow,LWFrq_Inde,5_iHyd_SPLow,N,Y,BRAT
LUI,LWFrq_Inde,D_LUI,Y,Y,
NATIV_DEP,LWFrq_Inde,D_NATIV_DEP,N,Y,
NODE_DENS,LWFrq_Inde,4_NODE_DENS,Y,Y,GNAT-threadedness
PRECIP,LWFrq_Inde,5_PRECIP,N,Y,RCAT-bankfull
PredD50_03,LWFrq_Inde,5_D50_3,N,Y,PNET
PredD50_04,LWFrq_Inde,5_D50_4,N,Y,PNET
prop_agr,LWFrq_Inde,D_agr_prop,Y,Y,
prop_conif,LWFrq_Inde,D_conif_prop,Y,Y,
prop_decid,LWFrq_Inde,D_decid_prop,Y,Y,
prop_dev,LWFrq_Inde,D_dev_prop,Y,Y,
prop_deveg,LWFrq_Inde,D_deveg_prop,Y,Y,
prop_exp,LWFrq_Inde,D_exp_prop,Y,Y,
prop_grsh,LWFrq_Inde,D_grsh_prop,Y,Y,
prop_inv,LWFrq_Inde,D_inv_prop,Y,Y,
prop_noch,LWFrq_Inde,D_noch_prop,Y,Y,
RIPAR_DEP,LWFrq_Inde,D_RIPAR_DEP,N,Y,
Sinuosity,LWFrq_Inde,5_Sinuosity,N,Y,Sinuosity
VEG,LWFrq_Inde,D_VEG,N,Y,
BFWIDTH,PoolPct_In,7_BFWIDTH,N,Y,Bankfull
COND_VAL,PoolPct_In,F_COND_VAL,N,Y,
CONF_RATIO,PoolPct_In,7_CONF_RATIO,N,Y,RCA
CONNECT,PoolPct_In,F_CONNECT,Y,Y,
CONV_CODE,PoolPct_In,F_CONV_CODE,Y,Y,
DRAREA,PoolPct_In,7_DRAREA,N,Y,RCAT-bankfull
ExNtv_Mean,PoolPct_In,F_ExNtv_Mean,N,Y,
ExRip_Mean,PoolPct_In,F_ExRip_Mean,N,Y,
iGeo_ElMin,PoolPct_In,7_ElMin,N,Y,BRAT
iGeo_Slope,PoolPct_In,7_iGeo_Slope,N,Y,BRAT
iHyd_SP2,PoolPct_In,7_SP2,N,Y,BRAT
iHyd_SPLow,PoolPct_In,7_iHyd_SPLow,N,Y,BRAT
LUI,PoolPct_In,F_LUI,Y,Y,
NATIV_DEP,PoolPct_In,F_NATIV_DEP,N,Y,
NODE_DENS,PoolPct_In,5_NODE_DENS,Y,Y,GNAT-threadedness
PRECIP,PoolPct_In,7_PRECIP,N,Y,RCAT-bankfull
PredD50_03,PoolPct_In,7_D50_3,N,Y,PNET
PredD50_04,PoolPct_In,7_D50_4,N,Y,PNET
prop_agr,PoolPct_In,F_agr_prop,Y,Y,
prop_conif,PoolPct_In,F_conif_prop,Y,Y,
prop_decid,PoolPct_In,F_decid_prop,Y,Y,
prop_dev,PoolPct_In,F_dev_prop,Y,Y,
prop_deveg,PoolPct_In,F_deveg_prop,Y,Y,
prop_exp,PoolPct_In,F_exp_prop,Y,Y,
prop_grsh,PoolPct_In,F_grsh_prop,Y,Y,
prop_inv,PoolPct_In,F_inv_prop,Y,Y,
prop_noch,PoolPct_In,F_noch_prop,Y,Y,
RIPAR_DEP,PoolPct_In,F_RIPAR_DEP,N,Y,
Sinuosity,PoolPct_In,7_Sinuosity,N,Y,Sinuosity
BFWIDTH,PTF6_Index,6_BFWIDTH,N,Y,Bankfull
COND_VAL,PTF6_Index,E_COND_VAL,N,Y,
CONF_RATIO,PTF6_Index,6_CONF_RATIO,N,Y,RCA
CONNECT,PTF6_Index,E_CONNECT,Y,Y,
CONV_CODE,PTF6_Index,E_CONV_CODE,Y,Y,
DRAREA,PTF6_Index,6_DRAREA,N,Y,RCAT-bankfull
ExNtv_Mean,PTF6_Index,E_ExNtv_Mean,N,Y,
ExRip_Mean,PTF6_Index,E_ExRip_Mean,N,Y,
iGeo_ElMin,PTF6_Index,6_ElMin,N,Y,BRAT
iGeo_Slope,PTF6_Index,6_iGeo_Slope,N,Y,BRAT
iHyd_SP2,PTF6_Index,6_SP2,N,Y,BRAT
iHyd_SPLow,PTF6_Index,6_iHyd_SPLow,N,Y,BRAT
LUI,PTF6_Index,E_LUI,Y,Y,
NATIV_DEP,PTF6_Index,E_NATIV_DEP,N,Y,
NODE_DENS,PTF6_Index,6_NODE_DENS,Y,Y,GNAT-threadedness
PRECIP,PTF6_Index,6_PRECIP,N,Y,RCAT-bankfull
PredD50_03,PTF6_Index,6_D50_3,N,Y,PNET
PredD50_04,PTF6_Index,6_D50_4,N,Y,PNET
prop_agr,PTF6_Index,E_agr_prop,Y,Y,
prop_conif,PTF6_Index,E_conif_prop,Y,Y,
prop_decid,PTF6_Index,E_decid_prop,Y,Y,
prop_dev,PTF6_Index,E_dev_prop,Y,Y,
prop_deveg,PTF6_Index,E_deveg_prop,Y,Y,
prop_exp,PTF6_Index,E_exp_prop,Y,Y,
prop_grsh,PTF6_Index,E_grsh_prop,Y,Y,
prop_inv,PTF6_Index,E_inv_prop,Y,Y,
prop_noch,PTF6_Index,E_noch_prop,Y,Y,
RIPAR_DEP,PTF6_Index,E_RIPAR_DEP,N,Y,
Sinuosity,PTF6_Index,6_Sinuosity,N,Y,Sinuosity
VEG,PTF6_Index,E_VEG,N,Y,
COND_VAL,RchCvrIntr,7_COND_VAL,N,Y,RCA
CONNECT,RchCvrIntr,7_CONNECT,Y,Y,RCA
CONV_CODE,RchCvrIntr,6_CONV_CODE,Y,Y,RVD
ExNtv_Mean,RchCvrIntr,6_ExNtv_Mean,N,Y,RVD
ExRip_Mean,RchCvrIntr,6_ExRip_Mean,N,Y,RVD
LUI,RchCvrIntr,7_LUI,Y,Y,RCA
NATIV_DEP,RchCvrIntr,6_NATIV_DEP,N,Y,RVD
prop_agr,RchCvrIntr,6_agr_prop,Y,Y,RVD
prop_conif,RchCvrIntr,6_conif_prop,Y,Y,RVD
prop_decid,RchCvrIntr,6_decid_prop,Y,Y,RVD
prop_dev,RchCvrIntr,6_dev_prop,Y,Y,RVD
prop_deveg,RchCvrIntr,6_deveg_prop,Y,Y,RVD
prop_exp,RchCvrIntr,6_exp_prop,Y,Y,RVD
prop_grsh,RchCvrIntr,6_grsh_prop,Y,Y,RVD
prop_inv,RchCvrIntr,6_inv_prop,Y,Y,RVD
prop_noch,RchCvrIntr,6_noch_prop,Y,Y,RVD
RIPAR_DEP,RchCvrIntr,6_RIPAR_DEP,N,Y,RVD
COND_VAL,RchCvrNati,8_COND_VAL,N,N,RCA
CONNECT,RchCvrNati,8_CONNECT,Y,N,RCA
CONV_CODE,RchCvrNati,5_CONV_CODE,Y,N,RVD
ExNtv_Mean,RchCvrNati,5_ExNtv_Mean,N,N,RVD
ExRip_Mean,RchCvrNati,5_ExRip_Mean,N,N,RVD
LUI,RchCvrNati,8_LUI,Y,N,RCA
NATIV_DEP,RchCvrNati,5_NATIV_DEP,N,N,RVD
prop_agr,RchCvrNati,5_agr_prop,Y,N,RVD
prop_conif,RchCvrNati,5_conif_prop,Y,N,RVD
prop_decid,RchCvrNati,5_decid_prop,Y,N,RVD
prop_dev,RchCvrNati,5_dev_prop,Y,N,RVD
prop_deveg,RchCvrNati,5_deveg_prop,Y,N,RVD
prop_exp,RchCvrNati,5_exp_prop,Y,N,RVD
prop_grsh,RchCvrNati,5_grsh_prop,Y,N,RVD
prop_inv,RchCvrNati,5_inv_prop,Y,N,RVD
prop_noch,RchCvrNati,5_noch_prop,Y,N,RVD
RIPAR_DEP,RchCvrNati,5_RIPAR_DEP,N,N,RVD
FldRchLen,RchLen,Reach_Length,N,N,PNET
BFWIDTH,RPD_Index,2_BFWIDTH,N,Y,Bankfull
COND_VAL,RPD_Index,A_COND_VAL,N,Y,
CONF_RATIO,RPD_Index,2_CONF_RATIO,N,Y,RCA
CONNECT,RPD_Index,A_CONNECT,Y,Y,
CONV_CODE,RPD_Index,A_CONV_CODE,Y,Y,
DRAREA,RPD_Index,2_DRAREA,N,Y,RCAT-bankfull
ExNtv_Mean,RPD_Index,A_ExNtv_Mean,N,Y,
ExRip_Mean,RPD_Index,A_ExRip_Mean,N,Y,
iGeo_ElMin,RPD_Index,2_ElMin,N,Y,BRAT
iGeo_Slope,RPD_Index,2_iGeo_Slope,N,Y,BRAT
iHyd_SP2,RPD_Index,2_SP2,N,Y,BRAT
iHyd_SPLow,RPD_Index,2_iHyd_SPLow,N,Y,BRAT
LUI,RPD_Index,A_LUI,Y,Y,
NATIV_DEP,RPD_Index,A_NATIV_DEP,N,Y,
NODE_DENS,RPD_Index,7_NODE_DENS,Y,Y,GNAT-threadedness
PRECIP,RPD_Index,2_PRECIP,N,Y,RCAT-bankfull
PredD50_03,RPD_Index,2_D50_3,N,Y,PNET
PredD50_04,RPD_Index,2_D50_4,N,Y,PNET
prop_agr,RPD_Index,A_agr_prop,Y,Y,
prop_conif,RPD_Index,A_conif_prop,Y,Y,
prop_decid,RPD_Index,A_decid_prop,Y,Y,
prop_dev,RPD_Index,A_dev_prop,Y,Y,
prop_deveg,RPD_Index,A_deveg_prop,Y,Y,
prop_exp,RPD_Index,A_exp_prop,Y,Y,
prop_grsh,RPD_Index,A_grsh_prop,Y,Y,
prop_inv,RPD_Index,A_inv_prop,Y,Y,
prop_noch,RPD_Index,A_noch_prop,Y,Y,
RIPAR_DEP,RPD_Index,A_RIPAR_DEP,N,Y,
Sinuosity,RPD_Index,2_Sinuosity,N,Y,Sinuosity
VEG,RPD_Index,A_VEG,N,Y,
Sinuosity,Sin,Sinuosity,N,N,Sinuosity
BFWIDTH,TotalIndex,1_BFWIDTH,N,Y,Bankfull
COND_VAL,TotalIndex,9_COND_VAL,N,Y,RCA
CONF_RATIO,TotalIndex,1_CONF_RATIO,N,Y,RCA
CONNECT,TotalIndex,9_CONNECT,Y,Y,RCA
CONV_CODE,TotalIndex,1_CONV_CODE,Y,Y,RVD
DRAREA,TotalIndex,1_DRAREA,N,Y,RCAT-bankfull
ExNtv_Mean,TotalIndex,1_ExNtv_Mean,N,Y,RVD
ExRip_Mean,TotalIndex,1_ExRip_Mean,N,Y,RVD
iGeo_ElMin,TotalIndex,1_ElMin,N,Y,BRAT
iGeo_Slope,TotalIndex,1_iGeo_Slope,N,Y,BRAT
iHyd_SP2,TotalIndex,1_SP2,N,Y,BRAT
iHyd_SPLow,TotalIndex,1_iHyd_SPLow,N,Y,BRAT
LUI,TotalIndex,9_LUI,Y,Y,RCA
NATIV_DEP,TotalIndex,1_NATIV_DEP,N,Y,RVD
NODE_DENS,TotalIndex,1_NODE_DENS,Y,Y,GNAT-threadedness
PRECIP,TotalIndex,1_PRECIP,N,Y,RCAT-bankfull
PredD50_03,TotalIndex,1_D50_3,N,Y,PNET
PredD50_04,TotalIndex,1_D50_4,N,Y,PNET
prop_agr,TotalIndex,1_agr_prop,Y,Y,RVD
prop_conif,TotalIndex,1_conif_prop,Y,Y,RVD
prop_decid,TotalIndex,1_decid_prop,Y,Y,RVD
prop_dev,TotalIndex,1_dev_prop,Y,Y,RVD
prop_deveg,TotalIndex,1_deveg_prop,Y,Y,RVD
prop_exp,TotalIndex,1_exp_prop,Y,Y,RVD
prop_grsh,TotalIndex,1_grsh_prop,Y,Y,RVD
prop_inv,TotalIndex,1_inv_prop,Y,Y,RVD
prop_noch,TotalIndex,1_noch_prop,Y,Y,RVD
RIPAR_DEP,TotalIndex,1_RIPAR_DEP,N,Y,RVD
Sinuosity,TotalIndex,1_Sinuosity,N,Y,Sinuosity
VEG,TotalIndex,9_VEG,N,Y,RCA
